## Summary Table

| Object/Text | Description |
|---|---|
| **Subject Inventory** | Person (hands and torso visible) |
|  | Currency (US Dollar bills) |
| **Text/OCR Dump** | "50" (on bills) |
|  | "UNITED STATES OF AMERICA" (on bills) |
|  | "FIFTY DOLLARS" (on bills) |
|  | "THE UNITED STATES OF AMERICA" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
|  | "50" (on bills) |
